code,ciudad,fecha_datos,url,Fecha,Temperatura,Clima,Viento
BCN,Barcelona,2025-01-07,https://www.tiempo3.com/europe/spain/catalonia/barcelona?page=14,"Lunes, 13 enero",12°/6°,Lluvia moderada a intervalos,23Km/h
BCN,Barcelona,2025-01-07,https://www.tiempo3.com/europe/spain/catalonia/barcelona?page=14,"Martes, 14 enero",13°/11°,Lluvia moderada a intervalos,27Km/h
BCN,Barcelona,2025-01-07,https://www.tiempo3.com/europe/spain/catalonia/barcelona?page=14,"Miércoles, 15 enero",12°/11°,Cielos tormentosos en las aproximaciones,17Km/h
BCN,Barcelona,2025-01-07,https://www.tiempo3.com/europe/spain/catalonia/barcelona?page=14,"Jueves, 16 enero",12°/11°,Ligeras precipitaciones,18Km/h
BCN,Barcelona,2025-01-07,https://www.tiempo3.com/europe/spain/catalonia/barcelona?page=14,"Viernes, 17 enero",14°/11°,Llovizna,17Km/h
BCN,Barcelona,2025-01-07,https://www.tiempo3.com/europe/spain/catalonia/barcelona?page=14,"Sábado, 18 enero",14°/12°,Ligeras precipitaciones,9Km/h
BCN,Barcelona,2025-01-07,https://www.tiempo3.com/europe/spain/catalonia/barcelona?page=14,"Domingo, 19 enero",11°/11°,Parcialmente nublado,9Km/h
AGP,Málaga,2025-01-07,https://www.tiempo3.com/europe/spain/andalucia/malaga?page=14,"Martes, 7 enero",17°/8°,Despejado,10Km/h
AGP,Málaga,2025-01-07,https://www.tiempo3.com/europe/spain/andalucia/malaga?page=14,"Miércoles, 8 enero",18°/11°,Cielo cubierto,6Km/h
AGP,Málaga,2025-01-07,https://www.tiempo3.com/europe/spain/andalucia/malaga?page=14,"Jueves, 9 enero",18°/13°,Lluvia moderada a intervalos,11Km/h
AGP,Málaga,2025-01-07,https://www.tiempo3.com/europe/spain/andalucia/malaga?page=14,"Viernes, 10 enero",18°/12°,Parcialmente nublado,15Km/h
AGP,Málaga,2025-01-07,https://www.tiempo3.com/europe/spain/andalucia/malaga?page=14,"Sábado, 11 enero",19°/10°,Cielo cubierto,17Km/h
AGP,Málaga,2025-01-07,https://www.tiempo3.com/europe/spain/andalucia/malaga?page=14,"Domingo, 12 enero",13°/8°,Lluvia moderada a intervalos,3Km/h
AGP,Málaga,2025-01-07,https://www.tiempo3.com/europe/spain/andalucia/malaga?page=14,"Lunes, 13 enero",12°/7°,Nublado,3Km/h
AGP,Málaga,2025-01-07,https://www.tiempo3.com/europe/spain/andalucia/malaga?page=14,"Martes, 14 enero",13°/8°,Lluvia moderada a intervalos,16Km/h
AGP,Málaga,2025-01-07,https://www.tiempo3.com/europe/spain/andalucia/malaga?page=14,"Miércoles, 15 enero",12°/9°,Ligeras precipitaciones,6Km/h
AGP,Málaga,2025-01-07,https://www.tiempo3.com/europe/spain/andalucia/malaga?page=14,"Jueves, 16 enero",14°/11°,Ligeras precipitaciones,12Km/h
AGP,Málaga,2025-01-07,https://www.tiempo3.com/europe/spain/andalucia/malaga?page=14,"Viernes, 17 enero",15°/12°,Lluvia moderada a intervalos,2Km/h
AGP,Málaga,2025-01-07,https://www.tiempo3.com/europe/spain/andalucia/malaga?page=14,"Sábado, 18 enero",17°/11°,Cielo cubierto,5Km/h
AGP,Málaga,2025-01-07,https://www.tiempo3.com/europe/spain/andalucia/malaga?page=14,"Domingo, 19 enero",11°/11°,Parcialmente nublado,6Km/h
VLC,Valencia,2025-01-07,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Martes, 7 enero",15°/8°,Parcialmente nublado,26Km/h
VLC,Valencia,2025-01-07,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Miércoles, 8 enero",18°/11°,Despejado,12Km/h
VLC,Valencia,2025-01-07,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Jueves, 9 enero",17°/13°,Nublado,28Km/h
VLC,Valencia,2025-01-07,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Viernes, 10 enero",17°/10°,Parcialmente nublado,7Km/h
VLC,Valencia,2025-01-07,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Sábado, 11 enero",15°/8°,Parcialmente nublado,17Km/h
VLC,Valencia,2025-01-07,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Domingo, 12 enero",11°/4°,Cielo cubierto,4Km/h
VLC,Valencia,2025-01-07,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Lunes, 13 enero",11°/4°,Parcialmente nublado,8Km/h
