iata,ciudad,fecha,t_max,t_min,precipitacion,viento,humedad
SCQ,Santiago de Compostela,4/08/2024,26.8°,13.7°,"0,2 mm",11.3 Km/h,71.7 %
SCQ,Santiago de Compostela,5/08/2024,26.5°,13°,"0,1 mm",10.7 Km/h,73 %
SCQ,Santiago de Compostela,6/08/2024,26.7°,13.7°,"0,3 mm",10.7 Km/h,72.3 %
SCQ,Santiago de Compostela,7/08/2024,26.7°,13.8°,"1,3 mm",10.2 Km/h,73.3 %
SCQ,Santiago de Compostela,8/08/2024,28.7°,13.5°,"2,5 mm",10.5 Km/h,70.7 %
SCQ,Santiago de Compostela,9/08/2024,28.7°,13.5°,"2,3 mm",12.3 Km/h,69.3 %
SCQ,Santiago de Compostela,10/08/2024,28.7°,14.3°,"0,4 mm",10 Km/h,70.2 %
SCQ,Santiago de Compostela,11/08/2024,27.2°,14.2°,"1,8 mm",11.5 Km/h,74.7 %
SCQ,Santiago de Compostela,12/08/2024,26.3°,13.7°,"0,4 mm",10.5 Km/h,75 %
SCQ,Santiago de Compostela,13/08/2024,26.8°,12.2°,"0,3 mm",9.3 Km/h,71.5 %
SCQ,Santiago de Compostela,14/08/2024,26.5°,11.7°,0 mm,9.5 Km/h,72.7 %
SCQ,Santiago de Compostela,15/08/2024,25.3°,11.8°,0 mm,12.5 Km/h,72.2 %
SCQ,Santiago de Compostela,16/08/2024,24°,12.3°,"0,6 mm",12.2 Km/h,73.7 %
SCQ,Santiago de Compostela,17/08/2024,23.2°,14.2°,"3,6 mm",12.5 Km/h,79.5 %
SCQ,Santiago de Compostela,18/08/2024,24.3°,12.3°,"1,5 mm",13.7 Km/h,75.8 %
SCQ,Santiago de Compostela,19/08/2024,25°,12.3°,"2,7 mm",12.3 Km/h,76.8 %
SCQ,Santiago de Compostela,20/08/2024,26.5°,13°,"3,4 mm",11.8 Km/h,74.8 %
SCQ,Santiago de Compostela,21/08/2024,27.3°,14°,"0,2 mm",10.3 Km/h,73 %
SCQ,Santiago de Compostela,22/08/2024,30.8°,13.5°,0 mm,9.7 Km/h,68.7 %
SCQ,Santiago de Compostela,23/08/2024,31.7°,15.8°,"0,5 mm",10.7 Km/h,63.5 %
SCQ,Santiago de Compostela,24/08/2024,28°,13.8°,"0,6 mm",9.8 Km/h,70.2 %
SCQ,Santiago de Compostela,25/08/2024,24.7°,12.8°,"0,1 mm",10.5 Km/h,71.2 %
SCQ,Santiago de Compostela,26/08/2024,27.8°,13.8°,"0,1 mm",10.7 Km/h,70.8 %
SCQ,Santiago de Compostela,27/08/2024,28°,14°,"0,4 mm",10.3 Km/h,70.7 %
SCQ,Santiago de Compostela,28/08/2024,25.2°,12.6°,"0,6 mm",10.4 Km/h,75.6 %
SCQ,Santiago de Compostela,29/08/2024,23.5°,12.8°,"0,6 mm",11 Km/h,78.7 %
SCQ,Santiago de Compostela,30/08/2024,25.2°,13°,"0,1 mm",9.5 Km/h,75.2 %
SCQ,Santiago de Compostela,31/08/2024,26.2°,12.8°,"0,3 mm",9 Km/h,75.3 %
SCQ,Santiago de Compostela,1/09/2024,22.7°,12.8°,"7,1 mm",10 Km/h,77.5 %
SCQ,Santiago de Compostela,2/09/2024,23.3°,12°,"0,6 mm",11.5 Km/h,75.7 %
SCQ,Santiago de Compostela,3/09/2024,27.5°,11.8°,0 mm,10.7 Km/h,67.8 %
SCQ,Santiago de Compostela,4/09/2024,25.2°,13.2°,"1,2 mm",13.3 Km/h,72 %
SCQ,Santiago de Compostela,5/09/2024,23.5°,13.2°,"1,1 mm",13.2 Km/h,72.2 %
SCQ,Santiago de Compostela,6/09/2024,24°,12.8°,"1,3 mm",13.8 Km/h,69.8 %
SCQ,Santiago de Compostela,7/09/2024,23.7°,12.3°,"0,6 mm",12.7 Km/h,72 %
SCQ,Santiago de Compostela,8/09/2024,24.8°,12.5°,"5,2 mm",9.5 Km/h,75.5 %
SCQ,Santiago de Compostela,9/09/2024,23.7°,13.5°,"1,5 mm",9.8 Km/h,78 %
SCQ,Santiago de Compostela,10/09/2024,24.7°,12.7°,1 mm,10 Km/h,75 %
SCQ,Santiago de Compostela,11/09/2024,25.4°,12°,"1,1 mm",8 Km/h,75.4 %
SCQ,Santiago de Compostela,12/09/2024,25.3°,13.5°,"0,6 mm",9.2 Km/h,73.8 %
SCQ,Santiago de Compostela,13/09/2024,26.2°,14.5°,"0,9 mm",10 Km/h,69.8 %
SCQ,Santiago de Compostela,14/09/2024,25°,13.8°,"0,5 mm",7.8 Km/h,71.3 %
SCQ,Santiago de Compostela,15/09/2024,25.2°,14.3°,"0,4 mm",9.8 Km/h,72.2 %
SCQ,Santiago de Compostela,16/09/2024,26.5°,13.5°,"1,2 mm",8.3 Km/h,70.8 %
SCQ,Santiago de Compostela,17/09/2024,24.7°,12.7°,6 mm,10.2 Km/h,75.2 %
SCQ,Santiago de Compostela,18/09/2024,25.5°,12.3°,"5,6 mm",7.5 Km/h,73.7 %
SCQ,Santiago de Compostela,19/09/2024,24.3°,12.2°,"3,1 mm",7.8 Km/h,77.2 %
SCQ,Santiago de Compostela,20/09/2024,20.8°,12.6°,"6,1 mm",12.2 Km/h,82.2 %
SCQ,Santiago de Compostela,21/09/2024,21°,11.7°,"7,9 mm",9.5 Km/h,83.2 %
SCQ,Santiago de Compostela,22/09/2024,22°,11°,1 mm,10 Km/h,78.2 %
SCQ,Santiago de Compostela,23/09/2024,21.7°,11°,"1,8 mm",11 Km/h,78.5 %
SCQ,Santiago de Compostela,24/09/2024,18.4°,11.2°,"4,4 mm",10.8 Km/h,84.4 %
SCQ,Santiago de Compostela,25/09/2024,18.7°,10.8°,"7,1 mm",11.5 Km/h,82 %
SCQ,Santiago de Compostela,26/09/2024,19°,10.5°,"6,5 mm",11.7 Km/h,83.2 %
SCQ,Santiago de Compostela,27/09/2024,18.7°,11°,"1,9 mm",10 Km/h,82.7 %
SCQ,Santiago de Compostela,28/09/2024,20.7°,9.7°,"0,1 mm",9.8 Km/h,75.8 %
SCQ,Santiago de Compostela,29/09/2024,20°,10.3°,"0,8 mm",9 Km/h,81.3 %
SCQ,Santiago de Compostela,30/09/2024,21.7°,12.2°,"0,6 mm",9.3 Km/h,80.3 %
SCQ,Santiago de Compostela,1/10/2024,20.8°,12°,"2,2 mm",9.7 Km/h,81.7 %
SCQ,Santiago de Compostela,2/10/2024,18.7°,12.3°,9 mm,12.3 Km/h,85.3 %
SCQ,Santiago de Compostela,3/10/2024,20.2°,10°,"2,1 mm",8.8 Km/h,80 %
SCQ,Santiago de Compostela,4/10/2024,21°,10.5°,"1,3 mm",7.7 Km/h,79 %
SCQ,Santiago de Compostela,5/10/2024,20.5°,10.7°,"3,5 mm",10 Km/h,81.2 %
SCQ,Santiago de Compostela,6/10/2024,23°,12°,"3,7 mm",8.7 Km/h,76.5 %
SCQ,Santiago de Compostela,7/10/2024,23.8°,12.8°,"0,7 mm",7.7 Km/h,74.5 %
SCQ,Santiago de Compostela,8/10/2024,24.2°,12.5°,"3,4 mm",8.3 Km/h,76 %
SCQ,Santiago de Compostela,9/10/2024,21.3°,11.7°,"7,1 mm",12.8 Km/h,74.7 %
SCQ,Santiago de Compostela,10/10/2024,20.5°,11.2°,1 mm,9.2 Km/h,76 %
SCQ,Santiago de Compostela,11/10/2024,21.8°,10.7°,"0,4 mm",9.7 Km/h,71.7 %
SCQ,Santiago de Compostela,12/10/2024,22°,11°,"0,5 mm",10.8 Km/h,72 %
SCQ,Santiago de Compostela,13/10/2024,20.5°,11.2°,"6,7 mm",8.5 Km/h,79.8 %
SCQ,Santiago de Compostela,14/10/2024,20°,10.5°,"4,9 mm",8.2 Km/h,80.3 %
SCQ,Santiago de Compostela,15/10/2024,16.5°,10.8°,"4,4 mm",8.7 Km/h,86.2 %
SCQ,Santiago de Compostela,16/10/2024,16.2°,10.7°,"12,6 mm",10.8 Km/h,86.8 %
SCQ,Santiago de Compostela,17/10/2024,17°,11.2°,"6,3 mm",11.3 Km/h,87.8 %
SCQ,Santiago de Compostela,18/10/2024,18.2°,11.7°,"6,4 mm",11.7 Km/h,85.3 %
SCQ,Santiago de Compostela,19/10/2024,16.5°,10.8°,"16,6 mm",14.2 Km/h,88 %
SCQ,Santiago de Compostela,20/10/2024,15.3°,9.7°,"5,4 mm",14.8 Km/h,89.2 %
SCQ,Santiago de Compostela,21/10/2024,14.2°,9.2°,"6,7 mm",10.3 Km/h,90.2 %
SCQ,Santiago de Compostela,22/10/2024,16°,8°,"0,9 mm",10.7 Km/h,84.7 %
SCQ,Santiago de Compostela,23/10/2024,15.3°,8°,"4,1 mm",10.3 Km/h,86.3 %
SCQ,Santiago de Compostela,24/10/2024,14.5°,8°,"4,9 mm",11.7 Km/h,91.7 %
SCQ,Santiago de Compostela,25/10/2024,15°,8.5°,"7,3 mm",13.5 Km/h,89.3 %
SCQ,Santiago de Compostela,26/10/2024,16.5°,8.5°,"11,9 mm",9.2 Km/h,86.8 %
SCQ,Santiago de Compostela,27/10/2024,16.2°,9.5°,"5,1 mm",12.2 Km/h,84.8 %
SCQ,Santiago de Compostela,28/10/2024,15.8°,10.2°,10 mm,14 Km/h,86.7 %
SCQ,Santiago de Compostela,29/10/2024,15.3°,9.2°,8 mm,11.7 Km/h,92 %
SCQ,Santiago de Compostela,30/10/2024,16.2°,9.2°,"6,5 mm",10.7 Km/h,90.8 %
SCQ,Santiago de Compostela,31/10/2024,15.5°,11.5°,"3,7 mm",11.2 Km/h,91.8 %
SCQ,Santiago de Compostela,1/11/2024,15.3°,10.2°,"7,7 mm",12.3 Km/h,89.8 %
SCQ,Santiago de Compostela,2/11/2024,15°,8.5°,"6,9 mm",14.5 Km/h,89.3 %
SCQ,Santiago de Compostela,3/11/2024,13.3°,7.7°,"4,6 mm",12.8 Km/h,89.2 %
SCQ,Santiago de Compostela,4/11/2024,13°,7°,"7,9 mm",14.3 Km/h,84.3 %
SCQ,Santiago de Compostela,5/11/2024,13.8°,6.8°,"4,6 mm",12.3 Km/h,84.2 %
SCQ,Santiago de Compostela,6/11/2024,14.8°,8°,"2,8 mm",9.3 Km/h,85.2 %
SCQ,Santiago de Compostela,7/11/2024,13.2°,6.7°,"7,8 mm",10.8 Km/h,88.5 %
SCQ,Santiago de Compostela,8/11/2024,14°,8.5°,"8,3 mm",12.2 Km/h,90.7 %
SCQ,Santiago de Compostela,9/11/2024,14.2°,7.7°,"3,1 mm",7.7 Km/h,91.5 %
SCQ,Santiago de Compostela,10/11/2024,14.7°,8°,4 mm,5 Km/h,90.5 %
SCQ,Santiago de Compostela,11/11/2024,16.2°,8.3°,"3,8 mm",10.5 Km/h,86.2 %
SCQ,Santiago de Compostela,12/11/2024,15.7°,8.2°,"5,3 mm",11.7 Km/h,84.2 %
SCQ,Santiago de Compostela,13/11/2024,14.7°,9.2°,"7,9 mm",11.8 Km/h,85.7 %
SCQ,Santiago de Compostela,14/11/2024,14°,7.5°,"6,1 mm",13.3 Km/h,86.8 %
SCQ,Santiago de Compostela,15/11/2024,13.3°,7.7°,"5,4 mm",12.8 Km/h,90 %
SCQ,Santiago de Compostela,16/11/2024,14°,7.5°,"3,7 mm",9.2 Km/h,89.5 %
SCQ,Santiago de Compostela,17/11/2024,15.2°,7.2°,1 mm,8.5 Km/h,86.3 %
SCQ,Santiago de Compostela,18/11/2024,13.7°,7.5°,"2,5 mm",6.8 Km/h,89.7 %
SCQ,Santiago de Compostela,19/11/2024,13.5°,6.3°,1 mm,6.5 Km/h,88 %
SCQ,Santiago de Compostela,20/11/2024,13°,7°,"2,6 mm",7.3 Km/h,87.2 %
SCQ,Santiago de Compostela,21/11/2024,12.7°,6.5°,"7,6 mm",11.5 Km/h,86.8 %
SCQ,Santiago de Compostela,22/11/2024,12°,5.8°,"8,7 mm",13.5 Km/h,84.2 %
SCQ,Santiago de Compostela,23/11/2024,13.2°,6.3°,"1,6 mm",12.2 Km/h,81.7 %
SCQ,Santiago de Compostela,24/11/2024,12.8°,6.8°,"9,9 mm",12.7 Km/h,85.3 %
SCQ,Santiago de Compostela,25/11/2024,10.5°,4.7°,"5,8 mm",7.8 Km/h,92.2 %
SCQ,Santiago de Compostela,26/11/2024,11.8°,5.5°,"4,1 mm",10.5 Km/h,88.2 %
SCQ,Santiago de Compostela,27/11/2024,11.2°,7.5°,"4,3 mm",9.2 Km/h,88.3 %
SCQ,Santiago de Compostela,28/11/2024,12°,6.8°,"6,6 mm",8.7 Km/h,90 %
SCQ,Santiago de Compostela,29/11/2024,12.2°,8°,"2,3 mm",9 Km/h,90.2 %
SCQ,Santiago de Compostela,30/11/2024,12°,6.7°,"4,3 mm",8.2 Km/h,90 %
SCQ,Santiago de Compostela,1/12/2024,11.2°,6.3°,"4,3 mm",8.8 Km/h,91 %
SCQ,Santiago de Compostela,2/12/2024,10.3°,5°,"0,6 mm",9.7 Km/h,86.8 %
SCQ,Santiago de Compostela,3/12/2024,10°,3.8°,"5,9 mm",10.5 Km/h,88.5 %
SCQ,Santiago de Compostela,4/12/2024,9.5°,3.8°,"3,7 mm",9 Km/h,88.8 %
SCQ,Santiago de Compostela,5/12/2024,9.7°,3.8°,"3,4 mm",7.2 Km/h,91.7 %
SCQ,Santiago de Compostela,6/12/2024,10.3°,5.2°,1 mm,7.8 Km/h,90.7 %
SCQ,Santiago de Compostela,7/12/2024,11.7°,5°,"11,8 mm",10.8 Km/h,92.2 %
SCQ,Santiago de Compostela,8/12/2024,8.3°,5.3°,"4,8 mm",11.2 Km/h,92.3 %
SCQ,Santiago de Compostela,9/12/2024,10.2°,5.5°,"4,1 mm",11.3 Km/h,94.7 %
SCQ,Santiago de Compostela,10/12/2024,10.8°,6.2°,"7,3 mm",11.3 Km/h,90 %
SCQ,Santiago de Compostela,11/12/2024,9.8°,6.2°,"9,6 mm",9.8 Km/h,93.3 %
SCQ,Santiago de Compostela,12/12/2024,12.3°,5.2°,"12,6 mm",12 Km/h,92.7 %
SCQ,Santiago de Compostela,13/12/2024,11.5°,6.7°,"2,9 mm",11 Km/h,91.2 %
SCQ,Santiago de Compostela,14/12/2024,11.3°,6.5°,"4,6 mm",10.2 Km/h,91.2 %
SCQ,Santiago de Compostela,15/12/2024,11.2°,5°,"9,8 mm",9.3 Km/h,88.3 %
SCQ,Santiago de Compostela,16/12/2024,11.5°,4.2°,"15,1 mm",6.2 Km/h,86.2 %
SCQ,Santiago de Compostela,17/12/2024,12.3°,4.3°,"0,1 mm",7.2 Km/h,81.7 %
SCQ,Santiago de Compostela,18/12/2024,12.5°,5.5°,"14,4 mm",12.7 Km/h,84.5 %
SCQ,Santiago de Compostela,19/12/2024,11.2°,5.7°,"11,4 mm",11.7 Km/h,85.8 %
SCQ,Santiago de Compostela,20/12/2024,10.5°,5.8°,"3,6 mm",12.7 Km/h,89.7 %
SCQ,Santiago de Compostela,21/12/2024,12.7°,7.2°,"4,6 mm",12.7 Km/h,91 %
SCQ,Santiago de Compostela,22/12/2024,13°,8.5°,"2,6 mm",12.8 Km/h,90.5 %
SCQ,Santiago de Compostela,23/12/2024,11.2°,6.8°,"4,5 mm",12.2 Km/h,92.7 %
SCQ,Santiago de Compostela,24/12/2024,12°,6.8°,"5,2 mm",11.3 Km/h,90.7 %
SCQ,Santiago de Compostela,25/12/2024,11.5°,6.2°,2 mm,10.7 Km/h,86 %
SCQ,Santiago de Compostela,26/12/2024,11.8°,5.2°,"1,2 mm",7.5 Km/h,90.2 %
SCQ,Santiago de Compostela,27/12/2024,11.2°,5°,"2,6 mm",11.3 Km/h,88.8 %
SCQ,Santiago de Compostela,28/12/2024,11.7°,6.2°,"3,3 mm",9.8 Km/h,89.3 %
SCQ,Santiago de Compostela,29/12/2024,11.8°,6.5°,"2,9 mm",7.3 Km/h,89.8 %
SCQ,Santiago de Compostela,30/12/2024,12.5°,5.7°,"2,6 mm",10.8 Km/h,88.5 %
SCQ,Santiago de Compostela,31/12/2024,12.3°,5.8°,"2,9 mm",10.5 Km/h,84.3 %
SDR,Santander,1/01/2024,13.4°,9.4°,"2,9 mm",21 Km/h,68.6 %
SDR,Santander,2/01/2024,12.6°,8.6°,"4,9 mm",26.4 Km/h,69.4 %
SDR,Santander,3/01/2024,12°,6.6°,"5,4 mm",17.2 Km/h,76.4 %
SDR,Santander,4/01/2024,12.4°,8.2°,"5,8 mm",21.8 Km/h,73.4 %
SDR,Santander,5/01/2024,10.4°,7.2°,"5,8 mm",27.2 Km/h,77.4 %
SDR,Santander,6/01/2024,10.6°,6.2°,"5,7 mm",15.4 Km/h,73.4 %
SDR,Santander,7/01/2024,10.8°,7°,"2,9 mm",20.2 Km/h,71.4 %
SDR,Santander,8/01/2024,10.4°,7.4°,"0,9 mm",19.6 Km/h,72 %
SDR,Santander,9/01/2024,10.6°,7.2°,"2,1 mm",31 Km/h,78.6 %
SDR,Santander,10/01/2024,10.4°,7.6°,2 mm,24.6 Km/h,77.2 %
SDR,Santander,11/01/2024,10.2°,7.2°,"1,4 mm",17.6 Km/h,76.4 %
SDR,Santander,12/01/2024,10.6°,6.2°,0 mm,15.4 Km/h,70 %
SDR,Santander,13/01/2024,12°,7°,"0,1 mm",14.4 Km/h,67.2 %
SDR,Santander,14/01/2024,12.6°,7.6°,"0,4 mm",15.2 Km/h,70.4 %
SDR,Santander,15/01/2024,12°,8.4°,"1,6 mm",20.6 Km/h,74.4 %
SDR,Santander,16/01/2024,14.3°,8.5°,"0,1 mm",26.3 Km/h,68.3 %
SDR,Santander,17/01/2024,12.6°,8.6°,"4,7 mm",38 Km/h,71.8 %
SDR,Santander,18/01/2024,11.2°,6.8°,"7,4 mm",26.6 Km/h,77.8 %
SDR,Santander,19/01/2024,10.4°,6.6°,"2,5 mm",30.6 Km/h,72.6 %
SDR,Santander,20/01/2024,9.4°,5.4°,"0,9 mm",29.2 Km/h,70 %
SDR,Santander,21/01/2024,10.8°,6°,"0,7 mm",20.8 Km/h,70 %
SDR,Santander,22/01/2024,10.4°,6.2°,"1,9 mm",29.8 Km/h,71.2 %
SDR,Santander,23/01/2024,11°,6.6°,"1,1 mm",24.2 Km/h,75.2 %
SDR,Santander,24/01/2024,11.6°,8.2°,"2,3 mm",16.4 Km/h,74.8 %
SDR,Santander,25/01/2024,10.8°,7.6°,"1,5 mm",16.4 Km/h,79.6 %
SDR,Santander,26/01/2024,12.2°,8°,"1,4 mm",20.4 Km/h,77.8 %
SDR,Santander,27/01/2024,12.4°,8.6°,"4,1 mm",17.4 Km/h,77.2 %
SDR,Santander,28/01/2024,12.6°,9°,"1,3 mm",21 Km/h,74.8 %
SDR,Santander,29/01/2024,12.4°,8°,"1,7 mm",15.2 Km/h,77.8 %
SDR,Santander,30/01/2024,12.2°,7°,1 mm,22 Km/h,74.2 %
SDR,Santander,31/01/2024,13°,9.2°,"0,8 mm",24.8 Km/h,78 %
SDR,Santander,1/02/2024,12.8°,10.4°,"0,4 mm",19.4 Km/h,77.8 %
SDR,Santander,2/02/2024,15.3°,10.3°,"0,1 mm",20.8 Km/h,79 %
SDR,Santander,3/02/2024,13.6°,9.6°,"0,3 mm",22 Km/h,77 %
SDR,Santander,4/02/2024,12.8°,8.4°,"0,1 mm",13.2 Km/h,78.4 %
SDR,Santander,5/02/2024,10.8°,7°,"1,8 mm",16.8 Km/h,80 %
SDR,Santander,6/02/2024,11°,6.4°,"9,5 mm",19.4 Km/h,73.2 %
SDR,Santander,7/02/2024,11.4°,7.8°,"0,4 mm",16 Km/h,71.4 %
SDR,Santander,8/02/2024,12.3°,7.5°,"3,7 mm",22.5 Km/h,78 %
SDR,Santander,9/02/2024,13.4°,9°,"0,6 mm",19.8 Km/h,70.4 %
SDR,Santander,10/02/2024,12°,8°,"7,5 mm",27.8 Km/h,77.4 %
SDR,Santander,11/02/2024,12.6°,7.6°,"1,9 mm",21.4 Km/h,75.2 %
SDR,Santander,12/02/2024,12°,8°,"2,7 mm",21.2 Km/h,76.2 %
SDR,Santander,13/02/2024,14.2°,8°,"0,4 mm",13.8 Km/h,74.8 %
SDR,Santander,14/02/2024,14.8°,9.6°,"0,5 mm",19.2 Km/h,72.4 %
SDR,Santander,15/02/2024,15.4°,10.4°,"2,7 mm",21.6 Km/h,68.2 %
SDR,Santander,16/02/2024,14.2°,9.8°,"0,8 mm",21 Km/h,72.4 %
SDR,Santander,17/02/2024,14.4°,9.2°,"2,2 mm",20 Km/h,75.6 %
SDR,Santander,18/02/2024,13.4°,9.2°,"1,5 mm",19 Km/h,72.2 %
SDR,Santander,19/02/2024,13°,8.4°,"0,9 mm",22.2 Km/h,75.8 %
SDR,Santander,20/02/2024,14.6°,9°,0 mm,21.8 Km/h,69.4 %
SDR,Santander,21/02/2024,12.8°,10°,"5,1 mm",20.6 Km/h,78 %
SDR,Santander,22/02/2024,13.4°,8.6°,9 mm,27.4 Km/h,77.6 %
SDR,Santander,23/02/2024,11.6°,7.4°,"11,8 mm",23 Km/h,74 %
SDR,Santander,24/02/2024,12.6°,7.8°,6 mm,23.8 Km/h,74.4 %
SDR,Santander,25/02/2024,11.3°,8°,"1,3 mm",25.3 Km/h,75 %
SDR,Santander,26/02/2024,11.2°,7.4°,"5,4 mm",34.4 Km/h,77.2 %
SDR,Santander,27/02/2024,11.4°,8.4°,"1,6 mm",24 Km/h,70.6 %
SDR,Santander,28/02/2024,11°,7.2°,"0,8 mm",18.8 Km/h,73 %
SDR,Santander,29/02/2024,13°,9.5°,"3,6 mm",44.5 Km/h,69.5 %
SDR,Santander,1/03/2024,12.8°,7.2°,2 mm,23.2 Km/h,71.8 %
SDR,Santander,2/03/2024,11.4°,8.4°,"7,8 mm",26.8 Km/h,76 %
SDR,Santander,3/03/2024,11°,7°,6 mm,31 Km/h,79.2 %
SDR,Santander,4/03/2024,12°,8.4°,"1,6 mm",22.4 Km/h,76.2 %
SDR,Santander,5/03/2024,11.2°,7.8°,"2,9 mm",27.4 Km/h,74.2 %
SDR,Santander,6/03/2024,10.4°,6.6°,"3,4 mm",26.6 Km/h,75.8 %
SDR,Santander,7/03/2024,12.4°,7.4°,1 mm,27.4 Km/h,74.8 %
SDR,Santander,8/03/2024,12.4°,7.2°,"1,2 mm",27.8 Km/h,73.4 %
SDR,Santander,9/03/2024,13.2°,8.4°,"0,7 mm",23.4 Km/h,70.8 %
SDR,Santander,10/03/2024,13.8°,8.6°,"1,5 mm",24 Km/h,70 %
SDR,Santander,11/03/2024,13.6°,10.6°,"3,8 mm",24.8 Km/h,80.2 %
SDR,Santander,12/03/2024,14.2°,10.2°,"1,8 mm",19.6 Km/h,80.8 %
SDR,Santander,13/03/2024,12.8°,9.6°,"1,7 mm",26.2 Km/h,73.8 %
SDR,Santander,14/03/2024,12.2°,9.2°,"1,2 mm",22.6 Km/h,75.2 %
SDR,Santander,15/03/2024,13.4°,9.4°,"0,7 mm",18.8 Km/h,78.6 %
SDR,Santander,16/03/2024,13.2°,9.4°,"0,6 mm",16.8 Km/h,78.2 %
SDR,Santander,17/03/2024,12.8°,10.4°,"1,9 mm",18.2 Km/h,83.6 %
SDR,Santander,18/03/2024,12.8°,9.6°,"3,3 mm",17.8 Km/h,79.6 %
SDR,Santander,19/03/2024,14.2°,9.8°,"2,2 mm",23 Km/h,80.8 %
SDR,Santander,20/03/2024,14.4°,9°,"1,2 mm",16 Km/h,75 %
SDR,Santander,21/03/2024,14°,9.8°,"0,8 mm",15.4 Km/h,77.6 %
SDR,Santander,22/03/2024,13.8°,10.2°,"0,4 mm",15.6 Km/h,80 %
SDR,Santander,23/03/2024,14°,9.4°,"0,3 mm",19.4 Km/h,71.8 %
SDR,Santander,24/03/2024,13.6°,9°,"0,4 mm",19.2 Km/h,76 %
SDR,Santander,25/03/2024,12.8°,9°,"1,8 mm",25.2 Km/h,77.6 %
SDR,Santander,26/03/2024,12.2°,8.4°,"2,3 mm",29 Km/h,70.4 %
SDR,Santander,27/03/2024,14.4°,7.6°,"1,7 mm",29.6 Km/h,71.4 %
SDR,Santander,28/03/2024,15°,9°,"0,7 mm",20 Km/h,68.6 %
SDR,Santander,29/03/2024,15.6°,10.2°,"1,7 mm",22 Km/h,73.4 %
SDR,Santander,30/03/2024,14.2°,8.8°,1 mm,23 Km/h,72.2 %
SDR,Santander,31/03/2024,13.8°,9°,"2,4 mm",26.8 Km/h,72.6 %
SDR,Santander,1/04/2024,13°,8.6°,"2,6 mm",27.6 Km/h,71.2 %
SDR,Santander,2/04/2024,12.2°,8.8°,"1,4 mm",23.8 Km/h,73.6 %
SDR,Santander,3/04/2024,12°,7.6°,"1,5 mm",18.6 Km/h,73.2 %
SDR,Santander,4/04/2024,14°,7.4°,0 mm,17.4 Km/h,66.6 %
SDR,Santander,5/04/2024,15.2°,8.4°,"0,1 mm",20.6 Km/h,63.8 %
SDR,Santander,6/04/2024,13.6°,7.8°,"4,2 mm",17.2 Km/h,75.4 %
SDR,Santander,7/04/2024,13.8°,8.8°,"0,5 mm",23.6 Km/h,73.4 %
SDR,Santander,8/04/2024,15.8°,9.4°,3 mm,25.4 Km/h,73 %
SDR,Santander,9/04/2024,14.6°,10.4°,"4,1 mm",23.6 Km/h,76.8 %
SDR,Santander,10/04/2024,15.4°,10.6°,"3,6 mm",14.2 Km/h,78.2 %
SDR,Santander,11/04/2024,14.8°,10.6°,"6,8 mm",18.8 Km/h,80.4 %
SDR,Santander,12/04/2024,12.8°,9.8°,"5,8 mm",23.3 Km/h,78.3 %
SDR,Santander,13/04/2024,13.4°,10.2°,"7,5 mm",24.4 Km/h,76.4 %
SDR,Santander,14/04/2024,15°,10°,"1,4 mm",24.6 Km/h,79.2 %
SDR,Santander,15/04/2024,14.6°,10.6°,"1,9 mm",21.6 Km/h,80.8 %
SDR,Santander,16/04/2024,14.8°,10.2°,"0,8 mm",20.8 Km/h,71.8 %
SDR,Santander,17/04/2024,14°,10.2°,"0,6 mm",18.2 Km/h,68.8 %
SDR,Santander,18/04/2024,13.6°,9°,"0,3 mm",20.6 Km/h,75.8 %
SDR,Santander,19/04/2024,13.4°,8.6°,"2,5 mm",20.2 Km/h,79.2 %
SDR,Santander,20/04/2024,13.4°,9.6°,"0,7 mm",17.2 Km/h,79.6 %
SDR,Santander,21/04/2024,13.6°,9.4°,"0,5 mm",25.6 Km/h,75 %
SDR,Santander,22/04/2024,14°,9.6°,"0,5 mm",22.2 Km/h,74 %
SDR,Santander,23/04/2024,14.8°,10°,"1,7 mm",22.8 Km/h,76 %
SDR,Santander,24/04/2024,15°,11°,"0,3 mm",18.6 Km/h,77.6 %
SDR,Santander,25/04/2024,15.4°,11.4°,"1,1 mm",14.2 Km/h,80.6 %
SDR,Santander,26/04/2024,15°,12°,"1,9 mm",16 Km/h,85.8 %
SDR,Santander,27/04/2024,14.3°,12.3°,"4,6 mm",17.3 Km/h,89.8 %
SDR,Santander,28/04/2024,14.3°,10.3°,2 mm,13.3 Km/h,81.8 %
SDR,Santander,29/04/2024,14.2°,9.7°,"4,3 mm",16.3 Km/h,82 %
SDR,Santander,30/04/2024,14.2°,10°,"1,7 mm",13.3 Km/h,80.2 %
SDR,Santander,1/05/2024,14.3°,10°,"1,5 mm",16.3 Km/h,77.7 %
SDR,Santander,2/05/2024,15°,10°,"1,1 mm",19.8 Km/h,75.2 %
SDR,Santander,3/05/2024,16.3°,10.5°,"1,2 mm",20.2 Km/h,75.2 %
SDR,Santander,4/05/2024,17.4°,11°,"0,3 mm",15.8 Km/h,74.8 %
SDR,Santander,5/05/2024,15.8°,11.3°,1 mm,20.5 Km/h,79.5 %
SDR,Santander,6/05/2024,16°,10.5°,"2,3 mm",16.3 Km/h,75.8 %
SDR,Santander,7/05/2024,16.5°,12.5°,"0,3 mm",17 Km/h,80 %
SDR,Santander,8/05/2024,17°,12°,"4,1 mm",15.8 Km/h,80.5 %
