iata,ciudad,fecha,t_max,t_min,precipitacion,viento,humedad
LCG,A Coruña,5/04/2024,14.7°,8°,8 mm,26.5 Km/h,74.7 %
LCG,A Coruña,6/04/2024,14.2°,8.3°,"7,3 mm",25.3 Km/h,77.7 %
LCG,A Coruña,7/04/2024,15.8°,8.5°,"2,4 mm",21 Km/h,73.5 %
LCG,A Coruña,8/04/2024,15.3°,10°,"3,8 mm",21.8 Km/h,77.2 %
LCG,A Coruña,9/04/2024,14.7°,9.5°,"5,2 mm",16.3 Km/h,78.8 %
LCG,A Coruña,10/04/2024,14.3°,10°,"7,9 mm",17.8 Km/h,82.7 %
LCG,A Coruña,11/04/2024,14.5°,9.8°,"2,9 mm",18.3 Km/h,80 %
LCG,A Coruña,12/04/2024,15.2°,9.5°,"4,6 mm",18.7 Km/h,75.5 %
LCG,A Coruña,13/04/2024,15.5°,9.7°,"1,9 mm",15.7 Km/h,76.3 %
LCG,A Coruña,14/04/2024,17°,10.8°,"4,8 mm",20 Km/h,82.7 %
LCG,A Coruña,15/04/2024,16.2°,10.2°,"3,7 mm",18.8 Km/h,81.2 %
LCG,A Coruña,16/04/2024,15.8°,9.5°,"1,8 mm",20.5 Km/h,75.3 %
LCG,A Coruña,17/04/2024,16.3°,9.8°,"1,6 mm",21.7 Km/h,73 %
LCG,A Coruña,18/04/2024,16.2°,9.3°,"2,2 mm",20.8 Km/h,74.8 %
LCG,A Coruña,19/04/2024,16°,10°,"1,7 mm",18.2 Km/h,79.3 %
LCG,A Coruña,20/04/2024,16°,9.7°,2 mm,17.8 Km/h,76.5 %
LCG,A Coruña,21/04/2024,14.7°,9.3°,"2,6 mm",19.8 Km/h,80.3 %
LCG,A Coruña,22/04/2024,15.3°,9.7°,"2,1 mm",19.5 Km/h,76.7 %
LCG,A Coruña,23/04/2024,14.3°,9.3°,"3,9 mm",20.8 Km/h,79.3 %
LCG,A Coruña,24/04/2024,14.5°,9.3°,"3,7 mm",17.7 Km/h,82.8 %
LCG,A Coruña,25/04/2024,14.5°,11°,"7,3 mm",14.7 Km/h,85 %
LCG,A Coruña,26/04/2024,14.3°,11°,7 mm,15.7 Km/h,86 %
LCG,A Coruña,27/04/2024,15°,10.8°,"1,5 mm",16.4 Km/h,82.8 %
LCG,A Coruña,28/04/2024,15.2°,10°,"2,1 mm",17.8 Km/h,79.8 %
LCG,A Coruña,29/04/2024,15.8°,9.5°,"1,4 mm",18.3 Km/h,78.2 %
LCG,A Coruña,30/04/2024,15.2°,10°,"2,9 mm",19.5 Km/h,80.3 %
LCG,A Coruña,1/05/2024,15.2°,9.7°,"2,9 mm",21 Km/h,80.8 %
LCG,A Coruña,2/05/2024,15.3°,10°,"2,1 mm",20.3 Km/h,77.2 %
LCG,A Coruña,3/05/2024,16.2°,10.2°,"9,2 mm",21.7 Km/h,78.5 %
LCG,A Coruña,4/05/2024,16.4°,10°,"8,5 mm",22 Km/h,80.6 %
LCG,A Coruña,5/05/2024,17.5°,10.8°,"2,2 mm",19.3 Km/h,78 %
LCG,A Coruña,6/05/2024,17.5°,11°,"1,7 mm",18.5 Km/h,78.3 %
LCG,A Coruña,7/05/2024,17.5°,11.2°,"0,9 mm",20.2 Km/h,78.2 %
LCG,A Coruña,8/05/2024,18.5°,11.5°,"1,6 mm",20.8 Km/h,75.7 %
LCG,A Coruña,9/05/2024,17°,11.8°,10 mm,15.5 Km/h,80.8 %
LCG,A Coruña,10/05/2024,16°,10.8°,"4,6 mm",15.3 Km/h,81.3 %
LCG,A Coruña,11/05/2024,16.2°,10.5°,"2,6 mm",18.3 Km/h,80.2 %
LCG,A Coruña,12/05/2024,15.8°,10.3°,"3,1 mm",20.8 Km/h,81 %
LCG,A Coruña,13/05/2024,17.2°,11.2°,"6,6 mm",23.2 Km/h,81.5 %
LCG,A Coruña,14/05/2024,16.7°,11.2°,2 mm,21.8 Km/h,79.2 %
LCG,A Coruña,15/05/2024,16.7°,11.7°,"10,7 mm",24.3 Km/h,81.2 %
LCG,A Coruña,16/05/2024,15.7°,11°,"5,6 mm",24.8 Km/h,79.5 %
LCG,A Coruña,17/05/2024,16.3°,11°,"3,5 mm",19.5 Km/h,78.5 %
LCG,A Coruña,18/05/2024,16.2°,11.2°,4 mm,17.8 Km/h,77.3 %
LCG,A Coruña,19/05/2024,16°,10.8°,"0,6 mm",16.3 Km/h,75.3 %
LCG,A Coruña,20/05/2024,17.2°,11.3°,"0,2 mm",15.8 Km/h,74 %
LCG,A Coruña,21/05/2024,17.8°,11.7°,1 mm,18.5 Km/h,77.2 %
LCG,A Coruña,22/05/2024,15.7°,11.8°,"2,9 mm",17.3 Km/h,82.7 %
LCG,A Coruña,23/05/2024,15.8°,11.7°,"0,9 mm",21.7 Km/h,80.7 %
LCG,A Coruña,24/05/2024,16.7°,11.3°,"1,1 mm",22.3 Km/h,78.8 %
LCG,A Coruña,25/05/2024,17.7°,11.7°,"0,2 mm",23.7 Km/h,77.3 %
LCG,A Coruña,26/05/2024,18.2°,12°,"0,1 mm",22.5 Km/h,76.7 %
LCG,A Coruña,27/05/2024,19.5°,12.3°,"0,2 mm",19.2 Km/h,75.5 %
LCG,A Coruña,28/05/2024,20.2°,13.2°,"1,5 mm",14.8 Km/h,76.7 %
LCG,A Coruña,29/05/2024,19.2°,13.3°,"0,4 mm",14.8 Km/h,79.3 %
